imageID,color,imageDBName,infantAge,infantEthnicity,infantGender,infantOldYoung,imageCat,agreement,rating.m,rating.sd,intensity.m,intensity.sd,clarity.m,clarity.sd,genuineness.m,genuineness.sd,internalEmo.m,internalEmo.sd,strength.m,strength.sd
1,bw,B1,6,3,M,1,1,0.8787879,1.1515152,0.4416738,2.3333333,1.1086779,2.4848485,1.0344447,2.78125,1.1283552,1.65625,0.4825587,2.3076923,0.7510676
10,bw,B4,8,1,M,2,1,1,1,0,4.1290323,0.8462441,4.0645161,0.9638632,3.7741935,1.1750086,1.3548387,0.6081879,2.75,1.2247449
100,bw,B29,11,1,M,2,3,1,3,0,3.8484848,0.7953463,4.1515152,0.939455,4.2121212,0.8199686,2.8787879,0.331434,3.1851852,0.9622504
101,bw,B30,6,1,M,1,1,0.7777778,1.3055556,0.6242456,2.6944444,1.1666667,2.8333333,1.2761549,2.9166667,1.3389762,2,0.7385489,2,1.2909944
102,bw,B30,6,1,M,1,3,0.8666667,2.8666667,0.3457459,2.4333333,0.8172002,2.8666667,1.0080139,3.5333333,0.9371024,2.5666667,0.5683208,2.2777778,0.8264421
104,bw,B31,7,1,M,2,1,0.9714286,1.0571429,0.3380617,4.3714286,0.770245,4.4571429,0.8859311,4.0857143,1.0395539,1.1764706,0.458627,3.1034483,1.1754886
107,bw,B32,5,1,M,1,1,1,1,0,3.5666667,0.6789106,3.6666667,0.8840866,3.4333333,1.1943353,1.4482759,0.5061202,2.7647059,1.0325582
108,bw,B32,5,1,M,1,2,0.7575758,1.8181818,0.4646602,2.7272727,1.1798498,2.8181818,1.2362884,3.7575758,1.1997474,2.030303,0.5294365,2.25,1.0350983
110,bw,B33,5,1,M,1,2,0.8181818,1.8181818,0.3916747,2.8484848,1.0344447,3.2727273,0.9107939,3.6060606,0.9981043,2,0.25,2,1.4142136
111,bw,B33,5,1,M,1,3,0.9032258,2.8064516,0.6010743,3.8064516,0.9099214,4,0.9660918,3.9677419,1.1397038,2.9333333,0.2537081,3.2222222,1.1208971
13,bw,B4,8,1,M,2,3,1,3,0,3.4,0.8116794,3.8857143,0.963188,4.1714286,1.0141851,2.8529412,0.3594906,3.0666667,1.1121068
14,bw,B5,6,1,M,1,1,0.9302326,1.0930233,0.3660571,2.6976744,1.0359004,2.7674419,1.2504706,3.0697674,1.2797944,1.6097561,0.4938648,2.3809524,1.2835961
143,bw,G1,4,1,F,1,2,0.7948718,2,0.4588315,2.8974359,0.9677666,2.8717949,1.151189,3.6153846,1.0666076,2.0769231,0.579683,2.8461538,1.4051188
145,bw,G1,4,1,F,1,2,0.9090909,2.030303,0.3046359,3,1.0606602,3.2424242,1.1464702,3.8484848,1.0642254,2.1212121,0.331434,2.3333333,1.5275252
146,bw,G1,4,1,F,1,3,1,3,0,4.1714286,0.8906612,4.3428571,0.9056313,4.4857143,0.8178677,2.9411765,0.2388326,3.5625,1.2164862
147,bw,G2,10,1,F,2,1,0.974359,1.0512821,0.3202563,3.8461538,1.014071,3.7948718,1.0305718,3.7179487,1.1227016,1.3421053,0.5824606,2.9655172,0.9813532
148,bw,G2,10,1,F,2,2,0.969697,2.030303,0.1740777,2.8181818,1.1579763,3.2121212,1.1112374,3.7575758,0.9692234,2.21875,0.4908436,2.2222222,1.3017083
149,bw,G2,10,1,F,2,3,0.9487179,2.9487179,0.2234559,2.5641026,0.7878977,3.025641,0.902837,3.4871795,0.9966205,2.7435897,0.442359,2.6206897,1.0146707
153,bw,G4,12,3,F,2,1,1,1,0,4.3030303,0.769937,4.4242424,0.7917663,3.969697,1.1854548,1.21875,0.4908436,3.1153846,1.2434443
154,bw,G4,12,3,F,2,2,0.8571429,1.8571429,0.3550358,3,1.1375929,3,1.118034,3.5151515,1.0931952,1.96875,0.4003527,2.6,1.5165751
155,bw,G4,12,3,F,2,3,1,3,0,4.030303,0.9837698,4,1.0897247,4.3030303,0.769937,2.6969697,0.5294365,3.32,1.1803954
157,bw,G5,9,1,F,2,2,0.8095238,1.8571429,0.4173919,2.9285714,1.0682298,2.9761905,1.2588825,3.6190476,1.103263,2,0.5,2.7,0.8232726
159,bw,G5,9,1,F,2,3,0.9285714,2.9285714,0.2606612,3.5714286,0.9912509,3.5952381,1.1056291,3.9761905,0.9496622,2.6,0.4961389,3.4166667,1.0598058
16,bw,B5,6,1,M,1,2,0.90625,1.96875,0.309461,3.0967742,1.0117588,3.125,1.1570262,3.78125,1.0075321,2.125,0.4212118,2.6666667,1.3662601
160,bw,G6,9,1,F,2,1,0.9655172,1.0344828,0.1856953,3.8275862,1.0713465,3.8965517,1.0469284,3.3448276,1.3436587,1.6206897,0.862463,3.08,0.9966611
161,bw,G6,9,1,F,2,2,1,2,0,3.0606061,0.9981043,3.1515152,1.1758298,3.8181818,0.9504783,2.3333333,0.4787136,2.5454545,1.1281521
162,bw,G6,9,1,F,2,3,0.9,2.9,0.3038218,2.55,1.1082442,2.8,1.1810469,3.6,1.0813097,2.625,0.4902903,2.72,1.2083046
163,bw,G7,6,1,F,1,2,0.7575758,1.7575758,0.4351941,2.3636364,0.9943019,2.5151515,1.0344447,3.3030303,0.8095079,1.8484848,0.3641095,1.75,0.5
164,bw,G8,9,1,F,2,1,0.9722222,1.0277778,0.1666667,2.6111111,1.0764433,2.4722222,1.3198725,2.7941176,1.409479,1.6,0.4970501,2.4615385,0.9674179
165,bw,G8,9,1,F,2,2,0.7692308,1.7692308,0.4268328,2.5641026,1.1190897,2.6923077,1.0551589,3.2307692,1.0872839,2.0263158,0.5445972,2.1666667,1.3371158
166,bw,G8,9,1,F,2,3,1,3,0,3.9473684,0.6954434,4.1052632,0.8633522,4.1842105,0.7660098,2.8947368,0.3110117,3.4411765,0.8941282
167,bw,G9,5,1,F,1,1,1,1,0,3.5714286,1.037126,3.8571429,1.191708,3.2571429,1.2448212,1.4117647,0.6567896,2.6538462,1.1980754
17,bw,B5,6,1,M,1,3,0.8709677,2.8709677,0.3407771,2.8064516,0.8725195,3.1935484,1.0138821,3.6451613,0.9146361,2.6129032,0.5584156,2.6190476,1.16087
170,bw,G10,5,1,F,1,1,1,1,0,3.95,0.9044052,4.175,0.9577618,3.825,1.298668,1.225,0.4797168,2.8787879,1.3171365
172,bw,G10,5,1,F,1,3,1,3,0,3.2564103,0.8497042,3.6153846,0.9628736,3.8974359,0.9677666,2.8157895,0.3928595,3.0967742,1.0117588
177,bw,G11,3,1,F,1,3,1,3,0,3.6829268,0.8496771,3.7317073,0.9493258,4.175,0.9026315,2.8717949,0.3386884,3.4411765,0.9905975
178,bw,G12,10,1,F,2,1,1,1,0,4.0512821,0.9161911,4.0769231,0.928627,3,1.3954814,1.4473684,0.5549467,2.6521739,1.2652235
179,bw,G12,10,1,F,2,2,0.9047619,2.047619,0.3086067,3.1190476,0.9678334,3.2142857,0.9248787,3.6190476,0.9358023,2.1463415,0.357839,2.5,1.2909944
181,bw,G12,10,1,F,2,3,0.9534884,2.9302326,0.337734,4.2325581,0.8405556,4.1162791,1.0512872,4.1627907,0.9983375,2.8333333,0.3771955,3.5714286,0.884032
182,bw,G13,5,1,F,1,1,0.9444444,1.0555556,0.2323107,3.6111111,1.1533251,3.3611111,1.1988751,3.7222222,1.185896,1.7777778,0.6808025,2.5263158,1.1722922
183,bw,G13,5,1,F,1,2,0.8292683,1.8292683,0.3809488,2.6341463,1.3182583,2.5853659,1.3033727,3.4146341,1.0482273,1.9756098,0.4176006,1.8571429,1.2149858
184,bw,G13,5,1,F,1,3,0.8536585,2.8536585,0.357839,3.097561,0.7682733,3.2,0.9660918,3.8,0.9114654,2.75,0.438529,2.7096774,1.0390235
185,bw,G14,4,1,F,1,1,0.9756098,1.0243902,0.1561738,4.2439024,0.8300749,4.1219512,1.1660858,4.0487805,1.0943313,1.075,0.2667468,3.75,1.2955969
186,bw,G14,4,1,F,1,2,0.8536585,1.8536585,0.357839,2.6585366,1.2371289,2.6585366,1.1092735,3.5365854,1.1423126,2,0.3162278,2.5,1.9148542
187,bw,G14,4,1,F,1,3,1,3,0,4.1190476,0.8025077,4.1666667,0.934871,4.2142857,0.8981204,2.8809524,0.3277701,3.6388889,1.0731204
188,bw,G15,8,1,F,2,1,0.7619048,1.2619048,0.4967958,2.6428571,1.1649647,2.452381,1.0638719,3.5,1.152939,1.6341463,0.5364745,2.5294118,1.0073261
189,bw,G15,8,1,F,2,2,0.8333333,1.8333333,0.379049,2.7,0.9153857,2.3666667,0.9643055,3.3,0.9153857,1.9333333,0.5208305,1.75,0.7071068
19,bw,B6,6,1,M,1,1,1,1,0,4.4634146,0.6744465,4.4634146,0.7105477,4.1707317,0.9461088,1.0731707,0.2636517,3.2368421,1.0763856
190,bw,G15,8,1,F,2,3,0.9444444,2.9444444,0.2323107,3.1388889,0.8669413,3.4166667,1.0790207,3.6857143,0.9321521,2.6285714,0.4902409,2.8571429,1.2363541
191,bw,G16,8,1,F,2,1,1,1,0,3.4242424,1.0009465,3.4242424,1.2255178,3.1818182,1.1846557,1.3870968,0.4951376,2.5,0.9235481
194,bw,G16,8,1,F,2,3,1,3,0,4.025,0.8619447,4.175,0.930605,4.175,1.0833826,2.85,0.3616203,3.1142857,1.2549063
195,bw,G17,6,2,F,1,1,0.8666667,1.1666667,0.461133,2.3548387,0.7978466,2.4193548,0.8859719,2.8387097,1.2137208,1.6666667,0.5466723,2.4166667,0.7929615
196,bw,G17,6,2,F,1,2,0.8787879,2,0.3535534,3.1212121,1.0534935,3.2121212,1.3406523,3.7575758,1.1734112,2.030303,0.3940851,2.4,1.1401754
197,bw,G17,6,2,F,1,3,0.96875,2.9375,0.3535534,3.71875,0.9240296,3.96875,1.0312653,4.2258065,0.8045569,2.9354839,0.249731,3.5925926,1.2787993
198,bw,G18,4,1,F,1,1,1,1,0,3.969697,0.8833476,3.8787879,0.9603898,3.71875,1.197696,1.25,0.4399413,2.7916667,0.9770927
2,bw,B1,6,3,M,1,3,1,3,0,3.45,0.8149249,4.025,0.8002403,4.3,0.6868733,2.9,0.3038218,2.9444444,1.0939952
200,bw,G18,4,1,F,1,3,0.9142857,2.9142857,0.2840286,3.1142857,1.05081,3.2571429,0.9804818,3.8285714,1.0427823,2.7428571,0.4434396,3.0769231,1.0167823
202,bw,G19,9,1,F,2,1,0.974359,1.025641,0.1601282,4.4871795,0.7564388,4.4358974,0.753758,4.1842105,0.9545131,1.1944444,0.4671766,3.1612903,1.0676071
203,bw,G19,9,1,F,2,2,1,2,0,3.1515152,0.9721501,3.3636364,1.1677484,3.9393939,0.9333874,2.0909091,0.2919371,2.3333333,2.3094011
204,bw,G19,9,1,F,2,3,0.9393939,2.9090909,0.3843531,3.8181818,1.0444659,3.8484848,1.202113,4.2121212,0.857233,2.7575758,0.5018904,3.3076923,1.086986
209,bw,G20,3,1,F,1,3,1,3,0,3.8571429,1.0493071,3.9047619,0.9320715,4.2380952,0.8781778,2.8571429,0.3541688,3.3888889,1.2711699
21,bw,B6,6,1,M,1,3,1,3,0,4.25,0.77625,4.5,0.6405126,4.5128205,0.6833276,2.925,0.2667468,3.7105263,1.0630882
211,bw,G21,10,1,F,2,3,0.9375,2.90625,0.3901509,3.9032258,0.8700513,4.0322581,0.7951466,4.3666667,0.7648905,2.8,0.4068381,3.5,1.1033546
212,bw,G22,5,1,F,1,3,1,3,0,4.575,0.6359931,4.7297297,0.5081912,4.7222222,0.5662463,2.8918919,0.3932616,3.8484848,1.1214169
216,bw,G23,7,1,F,2,2,0.8205128,2.1282051,0.4090739,2.65,1.0512508,2.6,1.0573309,3.25,1.0315535,2.225,0.4797168,1.75,0.8660254
218,bw,G23,7,1,F,2,3,0.9285714,2.9047619,0.3702026,3.5,0.8039536,3.4047619,1.0833445,3.7317073,1.1185792,2.625,0.5400617,2.8518519,1.0635103
219,bw,G24,3,1,F,1,1,0.9032258,1.0967742,0.3005372,2.6451613,1.0181155,2.8064516,1.2759142,3.2903226,1.2163757,1.5,0.6822882,2.35,1.0399899
22,bw,B7,8.5,1,M,2,1,0.9090909,1.0909091,0.2919371,2.9090909,1.0112998,2.7878788,1.1112374,3.3636364,1.0844982,1.40625,0.5599179,2.75,1.0195458
220,bw,G24,3,1,F,1,2,0.75,1.75,0.439155,2.8055556,1.3270686,2.9444444,1.3927249,3.5833333,1.1801937,1.8611111,0.4871361,2.6666667,1.2247449
221,bw,G24,3,1,F,1,3,1,3,0,4.3157895,0.8731819,4.1052632,1.0342636,4.3684211,0.8193951,2.8055556,0.4013865,4.137931,0.8334154
222,bw,G25,7,1,F,2,1,0.9285714,1.0714286,0.2606612,3.0487805,1.0943313,3.2682927,1.2252426,3.3658537,1.3739741,1.7,0.7578647,2.4230769,1.1017469
223,bw,G25,7,1,F,2,2,0.7647059,1.8235294,0.458627,2.7647059,1.1025816,3.0294118,1.2428046,3.4705882,1.1074211,2.0588235,0.4887322,2,0.7559289
224,bw,G25,7,1,F,2,3,0.8,2.775,0.4797168,2.65,1.1220403,2.675,1.1851106,3.45,0.9594336,2.525,0.5541221,2.5652174,1.1211231
226,bw,G26,12,1,F,2,1,0.9512195,1.0487805,0.2180848,3.6829268,0.9601829,3.6341463,1.1125668,3.1794872,1.5021352,1.425,0.5494753,2.64,1.2543258
228,bw,G26,12,1,F,2,2,0.9375,2,0.2540003,2.9375,0.8775883,2.8709677,1.1472267,3.4193548,1.0254818,2.0714286,0.3779645,2.7272727,1.00905
229,bw,G26,12,1,F,2,3,1,3,0,3.8181818,0.9504783,4.0909091,0.8790491,4.25,0.9158109,2.84375,0.368902,3.5384615,0.9478721
23,bw,B7,8.5,1,M,2,2,0.8181818,2,0.4330127,2.8181818,1.1579763,2.5151515,1.202113,3.6666667,0.9574271,2.21875,0.4200134,2.6153846,1.2608503
230,bw,G27,5,1,F,1,1,0.7857143,1.4285714,0.8305995,3.6829268,1.105419,2.8536585,1.4415439,3.5365854,1.3057098,1.4634146,0.5957164,2.84,1.1430952
231,bw,G27,5,1,F,1,2,0.85,1.9,0.3789324,2.975,1.0497252,3.225,1.2297071,3.6,1.0813097,1.975,0.4229021,4,1.4142136
232,bw,G27,5,1,F,1,3,1,3,0,3.8484848,0.939455,3.6363636,1.1406736,4,1,2.8064516,0.4016097,3.25,1.1515585
233,bw,G28,9,1,F,2,1,0.7631579,1.2368421,0.4308515,2.7837838,0.9756803,2.8378378,1.0411936,2.7027027,1.102141,1.7027027,0.5198752,2.0833333,0.7929615
236,bw,G29,11,1,F,2,1,0.952381,1.0714286,0.34165,3.5238095,1.0415302,3.5714286,1.2325436,2.7142857,1.4697887,1.4761905,0.6712964,2.5714286,0.9200874
237,bw,G29,11,1,F,2,2,0.8857143,1.9428571,0.3380617,3.0285714,1.3609191,3.2,1.410048,3.5714286,1.1952286,2.0882353,0.4517741,2.8571429,1.5735916
238,bw,G29,11,1,F,2,3,1,3,0,4.5813953,0.6980435,4.6046512,0.6948633,4.6511628,0.6504109,2.8571429,0.4173919,3.5789474,1.1770687
239,bw,G30,6,1,F,1,1,1,1,0,4.4848485,0.7550336,4.3333333,0.8164966,4.2727273,0.8393721,1.3030303,0.5294365,3.25,1.1887151
24,bw,B7,8.5,1,M,2,3,1,3,0,3.5882353,0.783065,4,0.8164966,4.0882353,0.8657681,2.8484848,0.3641095,3.1785714,0.9833266
240,bw,G31,9,1,F,2,2,0.9285714,2.0238095,0.2694253,3.0243902,1.036528,3.452381,1.1729134,3.7142857,1.0657807,2.0731707,0.3457054,1.8,1.0954451
241,bw,G31,9,1,F,2,3,0.8181818,2.7878788,0.4846117,2.1818182,0.882275,2.8181818,0.882275,3.59375,1.1030566,2.375,0.4918694,2.1428571,1.2924123
242,bw,G32,2,1,F,1,1,1,1,0,3.5952381,1.0833445,3.7857143,1.137728,3.4047619,1.2109163,1.3658537,0.4876524,2.8076923,1.2335066
243,bw,G32,2,1,F,1,3,0.7878788,2.7272727,0.5740605,2.6666667,1.0206207,3.0909091,1.2083986,3.59375,0.8370214,2.59375,0.6148367,2.5909091,1.0075473
244,bw,G32,2,1,F,1,3,0.7857143,2.7380952,0.5436787,2.6428571,0.9833102,2.6666667,0.9794639,3.1219512,1.1223886,2.3902439,0.5421277,2.5,1.2004901
245,bw,G33,6,1,F,1,1,1,1,0,3.9,1.0327956,3.925,1.0951525,3.8974359,1.0207034,1.2631579,0.4462583,3.3333333,1.0901403
247,bw,G33,6,1,F,1,3,0.9534884,2.9534884,0.2130826,3.1627907,1.0449478,3.1395349,1.0596809,3.9534884,0.998892,2.6744186,0.5219437,3.1612903,0.934408
248,bw,G36,5,1,F,1,1,1,1,0,3.475,0.9333562,3.9,0.8711913,3.2820513,1.0990119,1.4102564,0.5946228,2.8461538,0.9671528
249,bw,G36,5,1,F,1,2,0.7948718,2,0.4588315,2.6052632,1.02771,2.7435897,1.2078242,3.3589744,1.1582014,2.1538462,0.4887396,2.5,1.5092309
250,bw,G36,5,1,F,1,3,1,3,0,3.6764706,0.8428159,3.6666667,1.0801234,3.9393939,0.9333874,2.7741935,0.4250237,3,1.2158375
251,bw,G33,6,1,F,1,1,0.969697,1.030303,0.1740777,4.2727273,0.9444816,4.030303,1.0150384,3.8484848,1.3019508,1.3030303,0.5294365,3.2,1.2909944
255,bw,G34,4,1,F,1,1,0.9354839,1.0967742,0.3962187,3.6363636,0.8222751,3.5454545,0.9384465,3.7575758,0.9024378,1.4,0.5632418,2.6842105,1.1081833
256,bw,G34,4,1,F,1,2,0.8809524,1.8809524,0.3277701,3.1904762,1.1942565,3.2142857,1.3531483,3.6904762,1.1788398,2,0.5410018,4,4.8255274
257,bw,G34,4,1,F,1,3,1,3,0,3.5609756,0.8957896,4.0487805,0.8047117,4.2439024,0.8300749,2.825,0.3848076,3.7272727,1.0686653
258,bw,G35,4,1,F,1,1,1,1,0,4.2142857,0.8420566,4.1707317,0.9721738,4,1.0246951,1.2926829,0.5120499,3.6666667,1.24106
259,bw,G35,4,1,F,1,3,1,3,0,3.7428571,0.8520859,4.0285714,0.8906612,4.3235294,0.7675458,2.9090909,0.2919371,3.5172414,1.1532776
27,bw,B8,7,1,M,2,2,0.7619048,1.7619048,0.4310805,2.9285714,1.1346614,2.8571429,1.3172667,3.6666667,1.1405319,1.9761905,0.5625766,2.4615385,0.9674179
28,bw,B9,5,1,M,1,1,0.9032258,1.0967742,0.3005372,3.6451613,1.1120068,3.483871,1.2615062,3.7419355,1.1823068,1.4,0.6214555,2.826087,1.1541299
29,bw,B9,5,1,M,1,2,0.8484848,1.9090909,0.3843531,2.7878788,0.9272802,2.5757576,1.1464702,3.3030303,1.0150384,1.96875,0.4741291,2.1428571,0.8997354
3,bw,B2,5,1,M,1,1,0.9714286,1.0285714,0.1690309,3.9142857,0.9194445,4,1.0846523,3.6857143,1.2312459,1.3428571,0.5392182,3,1.1661904
30,bw,B9,5,1,M,1,3,0.9375,2.875,0.4918694,3.53125,0.9832263,3.46875,1.1067061,3.875,1.1570262,2.7333333,0.5208305,3.2083333,1.3506574
32,bw,B10,3,1,M,1,1,1,1,0,3.6363636,0.7423856,3.6666667,1.0206207,3.4848485,0.939455,1.3125,0.4709291,2.5238095,1.0304876
33,bw,B10,3,1,M,1,2,0.8857143,2.0571429,0.3380617,2.9714286,1.3169866,3.2285714,1.1902969,3.8285714,0.8906612,2,0.492366,2.375,1.407886
34,bw,B10,3,1,M,1,3,1,3,0,4.0952381,0.7904776,4.4047619,0.7005059,4.4761905,0.772645,2.8571429,0.4173919,3.5675676,0.9586026
36,bw,B11,6,1,M,1,1,0.9655172,1.0344828,0.1856953,3.4482759,1.1207844,3.4482759,1.2417214,3.4827586,1.0895835,1.2413793,0.5109635,2.5416667,0.9315329
38,bw,B11,6,1,M,1,3,0.9714286,2.9714286,0.1690309,2.7428571,0.8859311,3.2058824,1.0084315,3.8529412,0.9887964,2.7647059,0.4305615,2.5,1.1045361
39,bw,B12,1,2,M,1,1,1,1,0,4.4390244,0.7761695,4.3414634,1.0151295,4.2195122,1.1070726,1.1707317,0.3809488,3.3823529,1.3710139
4,bw,B2,5,1,M,1,2,0.8484848,1.9090909,0.3843531,2.4242424,0.8671182,2.5757576,1.0009465,3.3636364,0.9623598,1.969697,0.3046359,1.6666667,1.1547005
41,bw,B12,1,2,M,1,3,1,3,0,3.8787879,1.0534935,3.6666667,1.2909944,4.1212121,1.0827504,2.6666667,0.6454972,3.2142857,1.2279807
42,bw,B13,11,1,M,2,1,0.9047619,1.1190476,0.3952388,3.0952381,1.2842294,2.5952381,1.4660304,3,1.3614913,1.6666667,0.5257592,2.25,1.2382784
45,bw,B13,11,1,M,2,3,1,3,0,3.8292683,0.9461088,3.9512195,1.0712427,4.1219512,0.9538114,2.7073171,0.5120499,3.4193548,0.8475138
46,bw,B14,6,1,M,1,1,1,1,0,3.4193548,0.7648178,3.4516129,1.0275768,3.4193548,1.1187551,1.3666667,0.5560534,2.4761905,1.1233453
47,bw,B14,6,1,M,1,2,0.7906977,1.8837209,0.4477086,3.1395349,1.1460366,3.1395349,1.1868605,3.8604651,1.0369689,2.1162791,0.5859182,2.8,1.2071217
48,bw,B14,6,1,M,1,3,1,3,0,2.8181818,1.0141051,3.3636364,1.0844982,3.7878788,0.8929437,2.8181818,0.3916747,2.7777778,0.9740215
49,bw,B15,5,1,M,1,1,1,1,0,4.2,0.8331372,4.2571429,1.0387452,4.1176471,1.1218142,1.1818182,0.4646602,3.137931,1.1564767
52,bw,B15,5,1,M,1,3,0.9756098,2.9756098,0.1561738,3.5609756,0.807737,3.4878049,0.8695387,3.8780488,1.0534496,2.8947368,0.388307,3.1388889,0.8333333
53,bw,B16,10,1,M,2,2,0.7804878,1.9268293,0.4685213,2.5365854,1.1423126,2.5853659,1.1613701,3.35,1.0265701,1.975,0.4229021,2.4285714,0.9759001
55,bw,B16,10,1,M,2,3,0.9411765,2.9117647,0.3788057,3.5882353,0.8208513,3.9411765,0.8856149,3.9117647,0.9959812,2.7941176,0.4104256,2.8461538,1.1896994
57,bw,B17,1,1,M,1,1,0.9677419,1.0322581,0.1796053,3.6451613,0.7978466,3.4516129,1.1206757,3.7419355,0.9297936,1.4193548,0.5641627,2.7368421,0.9911893
58,bw,B18,9,1,M,2,1,0.9393939,1.0606061,0.2423058,2.7272727,0.8758113,2.7878788,0.9603898,3.03125,1.2309025,1.5,0.5679618,2.15,1.0894228
6,bw,B2,5,1,M,1,3,1,3,0,3.8809524,0.8025077,3.8571429,0.8715399,4.047619,0.8540401,2.8095238,0.3974366,3.4285714,0.9482403
60,bw,B18,9,1,M,2,2,0.8787879,2.0606061,0.3481553,2.9333333,0.827682,2.7333333,1.1426929,3.3461538,0.7452413,2,0.2948839,2.5,2.1213203
61,bw,B18,9,1,M,2,3,1,3,0,2.9032258,0.9075549,3,1.0645813,3.8387097,0.934408,2.5806452,0.5016103,2.7894737,1.0316625
63,bw,B19,10,1,M,2,1,1,1,0,4.0606061,0.7044233,4.1212121,0.9603898,4,1.118034,1.2121212,0.4846117,2.7037037,1.2345916
65,bw,B19,10,1,M,2,3,0.9047619,2.9047619,0.2971018,3.1190476,0.9422956,3.2619048,1.03734,3.5238095,1.0415302,2.5238095,0.5054867,2.7142857,1.1019463
67,bw,B20,9,1,M,2,1,0.8809524,1.1428571,0.4173919,2.5238095,1.0415302,2.8333333,1.2477622,3.0952381,1.3030831,1.6341463,0.6227398,2,1.0760552
7,bw,B3,6,1,M,1,1,0.8285714,1.1714286,0.3823853,2.8857143,0.9932546,2.6285714,1.1137038,3.6571429,1.1867617,1.6857143,0.6761234,2.2777778,1.1785113
70,bw,B20,9,1,M,2,3,1,3,0,3.5897436,0.88013,3.6410256,0.902837,3.8717949,0.9781693,2.8717949,0.3386884,3.1515152,1.0037807
71,bw,B21,3,1,M,1,1,0.969697,1.030303,0.1740777,3.4848485,1.1758298,3.030303,1.33428,3.5757576,1.1464702,1.3636364,0.5487589,2.5416667,1.2846643
72,bw,B21,3,1,M,1,2,0.8064516,2.1935484,0.4016097,2.8709677,0.9913605,2.9354839,1.0625593,3.7741935,0.9902753,2.3870968,0.4951376,2.4166667,0.9962049
73,bw,B21,3,1,M,1,3,0.7647059,2.7647059,0.4305615,2.7941176,0.9138467,2.8787879,0.8929437,3.7878788,1.0234005,2.6363636,0.4885042,2.45,0.7591547
76,bw,B22,7,1,M,2,3,1,3,0,3.6190476,0.7948732,3.8333333,0.8530195,4.1463415,0.8234372,2.804878,0.4012177,3.0909091,0.9799119
77,bw,B23,11,2,M,2,2,0.8484848,1.8484848,0.3641095,2.8484848,1.0344447,2.8484848,1.0344447,3.969697,0.918043,1.9393939,0.4961977,2.375,1.407886
78,bw,B23,11,2,M,2,2,0.8571429,1.9047619,0.3702026,2.6666667,1.2230842,2.9761905,1.1579649,3.6428571,1.122311,2.1190476,0.3952388,1.5714286,0.7867958
79,bw,B23,11,2,M,2,3,0.9354839,2.9354839,0.249731,2.9354839,0.9638632,3.2580645,1.0635708,3.9032258,1.0117588,2.7096774,0.5287437,2.962963,1.0554431
81,bw,B24,2,4,M,1,2,0.8484848,1.9090909,0.3843531,2.6666667,1.0507934,2.969697,1.1315048,3.7272727,1.0975179,2,0.6123724,1.6923077,0.7510676
83,bw,B24,2,4,M,1,3,1,3,0,3.675,0.944281,3.725,0.9333562,4.15,0.8929927,2.85,0.4266747,2.7714286,1.2622509
84,bw,B25,5,1,M,1,1,1,1,0,4.5151515,0.7550336,4.5151515,0.7124435,4.3333333,0.9574271,1.15625,0.368902,3.4444444,1.3397283
86,bw,B25,5,1,M,1,2,0.8235294,1.8235294,0.386953,2.6470588,1.3680854,2.6470588,1.3457532,3.4848485,1.1758298,1.875,0.5535807,1.8,0.7888106
87,bw,B26,10,1,M,2,1,0.9761905,1.0238095,0.1543033,4.1666667,0.7937766,4.4047619,0.8281488,4.0714286,1.197413,1.1904762,0.5054867,3.1351351,1.1823273
9,bw,B3,6,1,M,1,3,0.969697,2.9393939,0.3481553,3.5151515,0.7124435,3.7575758,0.9024378,3.9393939,0.8638357,2.6969697,0.5294365,2.92,1.077033
90,bw,B26,10,1,M,2,3,0.974359,2.9487179,0.3202563,4.3076923,0.7997975,4.3333333,0.7374684,4.2564103,0.8497042,2.8974359,0.3073547,3.6571429,0.8023076
91,bw,B27,5,1,M,1,1,0.9722222,1.0277778,0.1666667,3.1111111,1.1408713,3.1388889,1.2224747,3.1714286,1.2944614,1.5,0.5606119,2.4285714,1.0757057
94,bw,B27,5,1,M,1,3,1,3,0,2.4545455,0.7537784,3.2727273,1.0975179,3.8484848,0.939455,2.9090909,0.3843531,2.5357143,1.0357371
95,bw,B28,7,1,M,2,1,0.9393939,1.0606061,0.2423058,4,0.8291562,4.0909091,0.7650015,3.6363636,1.1677484,1.3333333,0.4787136,2.7619048,1.1791845
96,bw,B28,7,1,M,2,2,0.9375,1.9375,0.2459347,2.9354839,1.0625593,3.4193548,1.1768374,3.9354839,1.0934802,1.96875,0.4741291,2.6666667,1.3662601
97,bw,B28,7,1,M,2,3,1,3,0,3.8,0.9114654,4.1,0.928191,4.075,1.0225032,2.825,0.3848076,3.3030303,1.1315048
98,bw,B29,11,1,M,2,1,0.974359,1.025641,0.1601282,3.9487179,0.8568215,4,1.123903,3.6410256,1.3076129,1.2051282,0.4690128,2.8181818,1.1846557
